,KreisID,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,Breitband_Kreise,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen.Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Breitband_GemVB,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name,Weib 10 bis unter 15 Jahre,Weib 15 bis unter 18 Jahre,Weib 18 bis unter 20 Jahre,Weib 20 bis unter 25 Jahre,Weib 25 bis unter 30 Jahre,Weib 3 bis unter 6 Jahre,Weib 30 bis unter 35 Jahre,Weib 35 bis unter 40 Jahre,Weib 40 bis unter 45 Jahre,Weib 45 bis unter 50 Jahre,Weib 50 bis unter 55 Jahre,Weib 55 bis unter 60 Jahre,Weib 6 bis unter 10 Jahre,Weib 60 bis unter 65 Jahre,Weib 65 bis unter 75 Jahre,Weib 75 Jahre und mehr,Weib Insgesamt,Weib unter 3 Jahre,Mann 10 bis unter 15 Jahre,Mann 15 bis unter 18 Jahre,Mann 18 bis unter 20 Jahre,Mann 20 bis unter 25 Jahre,Mann 25 bis unter 30 Jahre,Mann 3 bis unter 6 Jahre,Mann 30 bis unter 35 Jahre,Mann 35 bis unter 40 Jahre,Mann 40 bis unter 45 Jahre,Mann 45 bis unter 50 Jahre,Mann 50 bis unter 55 Jahre,Mann 55 bis unter 60 Jahre,Mann 6 bis unter 10 Jahre,Mann 60 bis unter 65 Jahre,Mann 65 bis unter 75 Jahre,Mann 75 Jahre und mehr,Mann Insgesamt,Mann unter 3 Jahre
1,10041,20.3,3.255,79.9,62.7,47.2,-99,93.2,119.6,7.57762630662021,4.39666666666667,10.6,34.3,3,8.14833333333333,3.60666666666667,95.5,76.8,48.3,81.9,480,5.9,9.9,9.6,619,43400,93.2,20.5,32.2,34,4910.4,45.5,12.6,9.8,-0.3,3259,66.3,5,NA,13.5,793,3.29,5.12666666666667,119.6,4.61666666666667,-0.4,NA,63.3,3.34,2466,70,NA,2610.7,NA,28.2,LK Stadtverband Saarbrücken,6279,3972,3209,9582,10946,3800,10221,9548,8615,10060,13349,13540,5075,12118,19295,23812,167705,4284,6897,4296,3364,10363,12055,4265,11205,10224,8678,9947,13168,13438,5401,11603,17168,15391,162003,4540
2,10042,23.8,6.0675,46.7,53.4,19.6,0.29,84.7,71,12.0816556636391,7.98666666666667,8.4,29.2,2.7,39.175,5.83416666666667,98.7,76.6,55.3,81.9,292,4.4,4.6,5.2,480,26200,84.7,17.6,13.5,35.1,2302.8,47.3,13.6,5.2,0.76,2831,84.4,1,NA,7.5,186,5.74166666666667,7.68333333333333,71,7.61666666666667,-0.6,NA,55,5.515,1375.7,87.4,NA,2247.9,NA,33.1,LK Merzig-Wadern,2144,1437,989,2293,2673,1135,2852,3026,2894,3571,4561,4691,1585,4123,5767,7339,52258,1178,2433,1549,1047,2708,2946,1259,2981,3030,2846,3510,4589,4746,1753,4119,5522,4810,51108,1260
3,10043,22.5,3.10083333333333,54,57.1,28,0.57,90.8,75.7,7.77292402990608,4.2425,6.1,26.6,1.1,19.27,3.47916666666667,92.3,76.7,51.5,81.4,418,6.3,11.9,7.7,489,23900,90.8,18.9,26.4,33,2398,48.1,13,8.2,0.21,3021,71.3,4,NA,8.8,534,3.18833333333333,5.1775,75.7,4.68333333333333,-1.4,NA,61.1,3.06083333333333,2018,75,NA,2263.9,NA,26.5,LK Neunkirchen,2531,1586,1202,3113,3478,1498,3686,3676,3503,4138,5727,6099,2005,5279,7912,10291,67291,1567,2727,1751,1375,3471,3850,1612,3938,3899,3373,4122,5671,6109,2054,5213,7332,6694,64915,1724
4,10044,21.2,3.715,50.1,57.3,22.9,-0.06,95.8,91.9,9.42803411285872,5.89833333333333,7.5,30.7,1.6,24.7591666666667,4.17833333333333,99,77.5,52.9,81.8,379,4.2,15.9,6.1,608,31200,95.8,24.6,23.4,23.9,2141.7,51.4,16.2,6.1,0.37,3050,73.2,4,NA,6.4,426,3.925,5.6475,91.9,5.36666666666667,-0.9,NA,50.8,3.88333333333333,1819.9,77.9,NA,2416.2,NA,24.1,LK Saarlouis,3801,2509,1681,4653,5143,2325,5511,5434,5212,6277,8439,8906,3094,7862,11604,14696,99651,2504,4139,2694,1986,5179,5800,2509,5998,5638,5055,5975,8166,8733,3170,7641,10840,9597,95550,2430
5,10045,18.7,4.12833333333333,100.3,62.7,20.2,-0.49,93.1,93.2,10.8004072098226,5.19166666666667,6.4,36.2,1.9,18.6083333333333,4.56833333333333,98.4,77.8,53.1,82.7,374,4.6,24,5.8,717,37200,93.1,18.9,19.7,28.9,3346.8,52.2,13.9,5.7,0.44,3321,78.4,3,NA,10.5,343,4.335,7.51,93.2,6.53333333333333,-1.1,NA,54.2,4.01,1740,81.3,NA,2637.4,NA,30.2,LK Saar-Pfalz-Kreis,2819,1782,1317,3589,3733,1579,3823,3861,3745,4528,6359,6432,2155,5837,8604,11403,73246,1680,2951,1905,1510,3835,4044,1717,3993,3989,3616,4328,6011,6295,2326,5484,7972,7659,69385,1750
6,10046,24.4,4.67166666666667,26.7,62.3,17.7,0.18,91.8,52.9,11.7369522933368,7.54666666666667,3,33.2,0.1,34.4966666666667,4.63333333333333,97.3,77.5,56.1,82.2,299,4.9,3.7,4.2,565,23100,91.8,25.9,15.6,25.7,3143.3,48.4,12.8,4,0.79,2907,82.1,1,NA,7.5,185,4.42833333333333,7.16166666666667,52.9,5.36666666666667,-1.6,NA,53,4.17333333333333,1185.4,85.4,NA,2117,NA,32.8,LK Sankt Wendel,1766,1068,786,1844,2228,945,2329,2407,2277,2911,3880,4173,1272,3606,5231,6539,44199,937,1748,1212,838,2229,2461,965,2476,2396,2307,2840,3767,4249,1341,3667,5127,4629,43198,946
7,12051,11.4,6.00666666666667,122.9,57.7,17.9,NA,92.3,46.2,12.3254997450871,7.99083333333333,2.5,NA,2.1,1.77333333333333,6.70333333333333,101.2,76,41.2,81.8,210,NA,9.1,13.5,440,28100,92.3,35,22.1,25.3,2765.9,39.7,5.4,12.8,NA,2492,58.3,4,0.5,11.1,309,7.14916666666667,8.57833333333333,46.2,10.45,-0.5,92.3,NA,6.6075,1398,81.3,-4.45,2210.2,5.53333333333333,59.2,SK Brandenburg a.d.Havel,1290,724,494,1242,1729,915,2347,2227,1668,1902,2637,3049,1165,2787,4409,6975,36507,947,1364,743,568,1612,2063,942,2713,2489,2068,2052,2784,3134,1185,2543,3788,4694,35617,875
8,12052,15.6,6.52833333333333,115.5,70.4,17.2,1.4,99,51,9.73794521069297,6.19,4.1,NA,2.7,1.93166666666667,5.75,99.7,76.4,40,81.7,177,NA,0.5,12.1,544,30600,99,35.3,30.2,35.3,2464.3,29.5,5.6,11,0.3,2535,51,4,1.7,16.1,602,6.87666666666667,4.91333333333333,51,11.7833333333333,-0.5,99,98.7,5.035,1994.8,75.5,-3.73,2172.6,4.76666666666667,57.5,SK Cottbus,1887,978,846,2280,2739,1234,3332,2975,2368,2787,3681,4317,1619,3969,6103,8629,51018,1274,1904,1170,872,2623,3337,1351,3951,3413,2642,2855,3671,4164,1727,3475,5114,5595,49201,1337
9,12053,14.9,5.81083333333333,161.7,72.9,21.7,NA,71.6,20,10.2102943571226,6.9125,5.9,NA,-2.8,2.36666666666667,6.79333333333333,104.6,75.4,40,80.9,148,NA,1.8,13.8,502,32800,71.6,18.5,23.9,37.5,2523.6,44,5.4,13.1,NA,2566,71.7,4,1,15.4,390,7.73666666666667,6.92916666666667,20,7.83333333333333,-2.4,71.6,NA,6.99416666666667,1630.4,81.5,-5.18,2191.9,5.81666666666667,61.4,SK Frankfurt (Oder),1113,645,551,1470,1445,665,1771,1586,1526,1593,2100,2678,948,2479,3521,5109,29850,650,1228,668,497,1465,1597,720,1948,1761,1585,1701,2074,2473,929,2342,3092,3203,28023,740
10,12054,13.9,3.86,97.9,62.8,26.5,-99,95.3,237.4,10.3194685143889,7.08166666666667,5,57.8,11,2.11333333333333,4.82333333333333,101.3,79.3,39.1,83.6,837,4.3,0.5,7.7,567,37200,95.3,31.8,30.1,26,499.7,42.2,6.6,7.3,-1.9,2759,55.4,5,1.3,24.1,871,5.85333333333333,7.3,237.4,10.2,4.1,95.3,51.8,4.72833333333333,2896.9,75.5,1.88,2336.1,3.23333333333333,56.6,SK Potsdam,3911,2119,1545,4689,6483,2717,7650,7028,5973,5522,6197,6237,3501,5109,8437,11863,91910,2929,4230,2234,1597,4370,6129,2894,7378,6924,5971,5760,6235,6099,3729,4742,7026,7738,86179,3123
11,12061,11,8.36166666666667,62.1,55,11.6,0.24,66.7,72.7,19.3559212607862,12.74,2.7,42.1,6.1,43.1,7.66166666666667,97,78.2,43.6,83.5,257,6,2.8,7.4,892,32200,66.7,28.9,9.4,22.3,436.3,48.8,6,6.8,0.36,2329,84.2,4,NA,10.5,71,10.5683333333333,10.32,72.7,19.3,1.2,NA,47.2,9.28,757.5,91.3,NA,2202.7,NA,57.4,LK Dahme-Spreewald,3515,2040,1326,2567,3223,2240,4962,5572,4824,5604,7340,7700,3014,6435,9360,13200,85124,2202,3736,2142,1437,3032,3547,2395,5212,5670,5116,5869,7670,8032,3160,6456,8661,9442,83943,2366
12,12062,13.2,6.905,44.3,73.3,7.1,1.83,69.5,10.6,18.9758545146553,9.18666666666667,1,36.4,-6,64.9466666666667,7.43666666666667,99.9,75.8,45.2,82.3,112,8.4,5.5,12.9,377,21400,69.5,38.9,8,18.8,568.4,42.4,3.9,11.4,0.78,1999,87,1,NA,8.1,55,8.06666666666667,8.45333333333333,10.6,14.1833333333333,-3.7,NA,41.7,7.02833333333333,688.5,92.7,NA,1962.4,NA,62.3,LK Elbe-Elster,2084,1191,639,1179,1665,1149,2595,2661,2454,3248,4288,5058,1530,4619,6715,9593,51806,1138,2099,1235,796,1505,1981,1165,3065,3142,2832,3609,4529,5087,1602,4575,6187,6207,50832,1216
13,12063,20.2,8.79166666666667,31,50.8,12.4,1.18,87.2,62.9,19.0323376144889,12.3366666666667,2.2,43.5,7.7,27.62,9.23583333333333,96.2,77.8,44.1,82.1,289,7.5,5.1,9.2,482,18400,87.2,29.7,10.2,21.3,589.8,49,7.7,8.5,0.21,2012,85.4,4,NA,7.8,90,9.55166666666667,8.79666666666667,62.9,14.8833333333333,1.6,NA,74.3,8.1275,878.1,90.5,NA,1804.8,NA,53.4,LK Havelland,3656,2189,1492,2577,3004,2193,4598,5070,4811,5718,7738,7580,2988,5962,8794,11419,81788,1999,3839,2362,1653,3315,3371,2315,4711,5022,4812,5565,7956,7797,3215,6082,8072,7976,80121,2058
14,12064,14.6,7.46916666666667,35.3,54.1,6.3,1.15,76.6,52.4,18.6055794312516,11.855,1.8,34.1,4.5,35.03,7.92,96.6,77.8,44.3,83.3,273,7.9,1.2,10.3,476,18300,76.6,22.9,11.1,21.5,425.1,55.6,5.9,9.1,0.35,2222,85.1,4,NA,9.5,87,8.995,9.91166666666667,52.4,14.5,0.7,NA,50.3,7.38166666666667,783.3,90.7,NA,2010.1,NA,56.3,LK Märkisch-Oderland,4105,2280,1379,2485,3204,2523,5687,6376,5564,6139,8588,9884,3522,8062,10965,14735,97845,2347,4417,2561,1596,2961,3450,2732,5579,6534,6023,6577,8787,10116,3789,8181,10421,10262,96483,2497
15,12065,15.4,8.75,49.9,55.6,11.4,0.56,92,68.3,20.1626530940379,9.19833333333333,2.2,36.5,8.1,44.1533333333333,7.87166666666667,95.8,77.9,42.8,82.4,351,7.4,3.4,9.1,641,25000,92,26.6,10.5,21.1,162,52.3,6.4,8.3,-0.06,2361,82.8,4,NA,13.2,113,9.07,9.65333333333333,68.3,16.1666666666667,1.8,NA,51.6,8.34833333333333,1074.6,90.2,NA,2190.8,NA,55.5,LK Oberhavel,4752,2845,1811,3268,3888,2814,6086,6787,6282,7467,10014,9733,3883,7922,11587,15377,107138,2622,5051,3034,1972,4071,4082,3045,6189,6795,6312,7206,10006,10300,4024,8004,10633,10677,104111,2710
16,12066,12.9,6.70833333333333,46,62,7.2,1.9,80.5,16.4,18.4204235781991,9.11,1.8,30.7,-5,30.9616666666667,7.51833333333333,100,74.9,43.4,81.8,132,9.7,7.8,14.2,450,23000,80.5,24.7,11.5,28.9,570.5,46.4,4.4,12.5,0.29,2275,72.2,4,NA,12.2,92,7.96833333333333,8.15166666666667,16.4,12.7166666666667,-3.4,NA,35.5,7.82166666666667,803.7,89.8,NA,2088.8,NA,59.1,LK Oberspreewald-Lausitz,2056,1162,738,1375,1942,1246,3010,2847,2649,3295,4555,5232,1746,4673,7478,10940,56169,1225,2164,1253,866,1780,2217,1333,3385,3583,3156,3758,4666,5277,1762,4523,6408,6802,54307,1374
17,12067,13.2,8.69166666666667,76.8,59,9.5,1.34,83,39.5,16.5040908990923,10.99,3.1,40.2,3.1,26.545,8.19166666666667,96.4,77.4,43.8,82.9,205,8.7,2,9.7,453,22500,83,25.1,9.6,18.3,1297.9,56.6,4.6,9,0.19,2303,85.3,4,NA,10.2,79,9.76166666666667,10.4216666666667,39.5,17.1166666666667,0,NA,74.5,8.34916666666667,818.7,91.7,NA,2141.6,NA,58.3,LK Oder-Spree,3677,2136,1245,2353,3023,2193,5129,5348,4759,5545,7621,8660,3047,7628,11169,15255,90977,2189,3733,2309,1533,3032,3220,2263,5015,5541,5140,5710,7895,8540,3208,7455,10228,10526,87681,2333
18,12068,12.4,10.8016666666667,119.9,66.7,11.7,1.66,88,32.5,23.9314949154911,13.5466666666667,1.7,36,1.2,68.45,11.4283333333333,99.6,76.1,45,81.9,95,9.2,3.2,11.3,422,22900,88,34.8,6.4,17.8,790,47.3,5.7,9.7,0.57,2095,89.8,1,NA,9.7,39,13.05,11.3666666666667,32.5,15.6666666666667,-0.9,NA,66.5,11.1966666666667,615.1,94.1,NA,1990.7,NA,58.5,LK Ostprignitz-Ruppin,1902,1126,747,1436,1784,1226,2853,2851,2508,2957,4184,4858,1568,4556,5985,8044,49747,1162,2137,1265,898,1597,2053,1252,3097,3145,2728,3217,4350,5057,1762,4441,5732,5373,49331,1227
19,12069,18.1,7.845,33.4,56.4,8.7,0.66,85.1,68.3,19.1830208258125,11.405,2.8,43.5,8.6,26.0483333333333,7.53333333333333,93,78.8,44.6,83.5,255,6.5,3.6,6.9,543,21700,85.1,29.9,8.9,25.4,467.1,44.7,6,6.3,0.18,2225,87.2,4,NA,11.8,80,8.50333333333333,11.1466666666667,68.3,15.6333333333333,2,NA,62.4,8.02333333333333,898.9,91.8,NA,2139,NA,57.1,LK Potsdam-Mittelmark,5201,3082,1906,3007,3434,2878,5732,6778,6713,7621,10094,10295,4209,8312,11568,14895,108406,2681,5586,3169,2045,3653,3746,3044,5859,6688,6649,7756,10269,10545,4354,8546,11091,10539,106258,2719
20,12071,13.5,9.30333333333333,45.8,50,9.1,1.4,74.1,14.7,18.3325352702982,11.4166666666667,1.9,42.4,-4.4,20.3766666666667,8.97333333333333,96.7,76.1,45.3,82.3,119,8.1,2.5,10.6,526,35300,74.1,29.4,9.7,28.2,1113.6,42.5,4.1,10.3,0.3,2335,80.4,4,NA,8.1,71,10.1,9.38166666666667,14.7,15.6666666666667,-2.9,NA,98.7,8.83,731.5,91,NA,2096.5,NA,60.2,LK Spree-Neiße,2194,1251,778,1216,1681,1256,2840,3003,2841,3580,5017,6010,1829,5351,7707,10339,58160,1267,2397,1347,897,1517,1918,1420,2986,3458,2944,3850,5180,6087,1821,5412,6977,6793,56269,1265
21,12072,11.9,8.51666666666667,31.1,50.8,10.5,0.75,95.2,57.3,18.4067723641024,12.0058333333333,2.7,37.2,6.4,46.1016666666667,7.87083333333333,95.9,77.9,43.4,82.8,308,9.4,8.4,7.9,742,30300,95.2,28.1,9.8,27.9,971.9,44,6.6,7.3,0.11,2307,87.2,4,NA,11.4,77,10.3766666666667,9.23833333333333,57.3,15.7833333333333,1.2,NA,94.4,9.4175,782.7,91.4,NA,2269.8,NA,54.7,LK Teltow-Fläming,3628,2126,1333,2731,3357,2301,5391,5432,4869,5428,7446,7659,3048,6104,8940,12374,84454,2287,3898,2323,1551,3349,3759,2348,5636,5899,5074,5926,7833,7982,3141,6240,8320,8181,83842,2382
22,12073,13.6,11.1241666666667,62.2,57.9,11.6,2.25,83.3,17.9,21.0193442561894,17.04,2.3,32.3,-3,58.0483333333333,9.47,98.1,75.9,44.6,82.4,89,12.1,3,16,414,23900,83.3,33.4,6.5,14.7,891.7,51.9,4.5,15.4,0.41,2109,87.1,4,NA,9.1,39,12.1466666666667,10.1341666666667,17.9,15.0666666666667,-2.3,NA,64.7,11.125,603.9,94.2,NA,2014.5,NA,54.3,LK Uckermark,2410,1426,796,1551,2162,1414,3120,3132,3022,3531,5060,6097,1847,5402,7911,10729,60882,1272,2537,1483,969,1950,2258,1479,3396,3523,3063,3707,5110,6039,2020,5425,7221,7088,58670,1402
